condition_id,predictor_set,scenario,n_train,n_test,n_sets,p_per_set,rho_within,rho_between,target_r2,nonlinearity_strength,seed_base,n_rep_all,n_rep_stable,mean_delta_component_correlation_all,mean_delta_component_correlation_stable,mcse_delta_component_correlation_all,mcse_delta_component_correlation_stable,component_correlation_ci_lower_all,component_correlation_ci_lower_stable,component_correlation_ci_upper_all,component_correlation_ci_upper_stable,kernel_component_correlation_win_rate_all,kernel_component_correlation_win_rate_stable,mean_delta_component_rmse_all,mean_delta_component_rmse_stable,mcse_delta_component_rmse_all,mcse_delta_component_rmse_stable,component_rmse_ci_lower_all,component_rmse_ci_lower_stable,component_rmse_ci_upper_all,component_rmse_ci_upper_stable,kernel_component_rmse_win_rate_all,kernel_component_rmse_win_rate_stable,n_train_factor,p_per_set_factor,target_r2_factor
1,1,linear,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.0245319066387513,-0.0245319066387513,0.00264318532744904,0.00264318532744904,-0.0297250505374178,-0.0297250505374178,-0.0193387627400847,-0.0193387627400847,0.362,0.362,0.0461551722014807,0.0461551722014807,0.0045700285168772,0.0045700285168772,0.0371763028567202,0.0371763028567202,0.0551340415462413,0.0551340415462413,0.366,0.366,150,5,0.3
1,2,linear,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.0255391426212229,-0.0255391426212229,0.00318510890475031,0.00318510890475031,-0.0317970196998825,-0.0317970196998825,-0.0192812655425634,-0.0192812655425634,0.388,0.388,0.0384415523628982,0.0384415523628982,0.00397852709525954,0.00397852709525954,0.0306248232460009,0.0306248232460009,0.0462582814797955,0.0462582814797955,0.388,0.388,150,5,0.3
1,3,linear,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.0316531709598504,-0.0316531709598504,0.003912880237335,0.003912880237335,-0.0393409217655573,-0.0393409217655573,-0.0239654201541434,-0.0239654201541434,0.39,0.39,0.0458887256759811,0.0458887256759811,0.00470050815945496,0.00470050815945496,0.0366534991425225,0.0366534991425225,0.0551239522094397,0.0551239522094397,0.388,0.388,150,5,0.3
2,1,mixed,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.0669114173785414,-0.0669114173785414,0.00407100660575148,0.00407100660575148,-0.0749098437077664,-0.0749098437077664,-0.0589129910493165,-0.0589129910493165,0.23,0.23,0.126233973396333,0.126233973396333,0.00689241364833415,0.00689241364833415,0.112692245726607,0.112692245726607,0.13977570106606,0.13977570106606,0.23,0.23,150,5,0.3
2,2,mixed,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.328103068780562,0.328103068780562,0.0132702212704521,0.0132702212704521,0.302030675025594,0.302030675025594,0.354175462535529,0.354175462535529,0.83,0.83,-0.121149114328219,-0.121149114328219,0.00636031965616804,0.00636031965616804,-0.133645421292769,-0.133645421292769,-0.108652807363669,-0.108652807363669,0.812,0.812,150,5,0.3
2,3,mixed,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.116145540611808,0.116145540611808,0.00544151979902562,0.00544151979902562,0.105454426731021,0.105454426731021,0.126836654492595,0.126836654492595,0.886,0.886,-0.0856918282123897,-0.0856918282123897,0.00340398223879916,0.00340398223879916,-0.0923797321633585,-0.0923797321633585,-0.0790039242614209,-0.0790039242614209,0.882,0.882,150,5,0.3
3,1,nonlinear,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,499,0.142329864559254,0.142401391444116,0.00543347720443857,0.00544390511005515,0.131654552200432,0.131705538854816,0.153005176918076,0.153097244033417,0.888,0.887775551102204,-0.107363086606227,-0.107458726536495,0.00394352039371269,0.00395026892727032,-0.115111037027714,-0.115219973891107,-0.0996151361847407,-0.0996974791818823,0.894,0.893787575150301,150,5,0.3
3,2,nonlinear,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,499,0.409976232036746,0.410881444468056,0.0108657656855977,0.010849715188298,0.388627942838667,0.389564586083515,0.431324521234826,0.432198302852597,0.944,0.945891783567134,-0.137984661115812,-0.138264805845895,0.00533939769875527,0.00534273957632239,-0.148475132704729,-0.148761894567338,-0.127494189526896,-0.127767717124452,0.916,0.917835671342685,150,5,0.3
3,3,nonlinear,150,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,499,0.149145500803431,0.149266724587943,0.00586388263686899,0.00587439002840856,0.137624558241473,0.137725081497974,0.16066644336539,0.160808367677911,0.904,0.903807615230461,-0.10824137118297,-0.108360668701892,0.00369716454023399,0.00370265205881097,-0.115505299018485,-0.115635413542202,-0.100977443347455,-0.101085923861582,0.904,0.903807615230461,150,5,0.3
4,1,linear,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.00382695781576648,-0.00382695781576648,5.2195902229612e-4,5.2195902229612e-4,-0.00485246604776288,-0.00485246604776288,-0.00280144958377008,-0.00280144958377008,0.43,0.43,0.0129502487426171,0.0129502487426171,0.00163881335125191,0.00163881335125191,0.00973042398506947,0.00973042398506947,0.0161700735001648,0.0161700735001648,0.434,0.434,300,5,0.3
4,2,linear,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.00549146977932862,-0.00549146977932862,7.5109955535212e-4,7.5109955535212e-4,-0.00696717715128673,-0.00696717715128673,-0.00401576240737052,-0.00401576240737052,0.448,0.448,0.0131834757970454,0.0131834757970454,0.00179526792435185,0.00179526792435185,0.0096562601413739,0.0096562601413739,0.016710691452717,0.016710691452717,0.448,0.448,300,5,0.3
4,3,linear,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.00891802262987804,-0.00891802262987804,0.00108006289040544,0.00108006289040544,-0.0110400539347727,-0.0110400539347727,-0.00679599132498335,-0.00679599132498335,0.448,0.448,0.0185256017758752,0.0185256017758752,0.00218196586015541,0.00218196586015541,0.0142386293202961,0.0142386293202961,0.0228125742314542,0.0228125742314542,0.446,0.446,300,5,0.3
5,1,mixed,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,-0.0328729062902589,-0.0328729062902589,0.00175365727722131,0.00175365727722131,-0.0363183682845351,-0.0363183682845351,-0.0294274442959828,-0.0294274442959828,0.116,0.116,0.0965931624432375,0.0965931624432375,0.00408735801589731,0.00408735801589731,0.0885626100179149,0.0885626100179149,0.10462371486856,0.10462371486856,0.118,0.118,300,5,0.3
5,2,mixed,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.674621038121539,0.674621038121539,0.00987984424604394,0.00987984424604394,0.655209817752956,0.655209817752956,0.694032258490122,0.694032258490122,0.97,0.97,-0.330390723373107,-0.330390723373107,0.00727309335216364,0.00727309335216364,-0.3446803836455,-0.3446803836455,-0.316101063100714,-0.316101063100714,0.968,0.968,300,5,0.3
5,3,mixed,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.127476623177947,0.127476623177947,0.00342809604193092,0.00342809604193092,0.120741342129237,0.120741342129237,0.134211904226658,0.134211904226658,0.96,0.96,-0.124751456412398,-0.124751456412398,0.0030668247135315,0.0030668247135315,-0.130776937064081,-0.130776937064081,-0.118725975760715,-0.118725975760715,0.962,0.962,300,5,0.3
6,1,nonlinear,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.202276620035422,0.202276620035422,0.00299402341889971,0.00299402341889971,0.196394174227004,0.196394174227004,0.208159065843839,0.208159065843839,0.992,0.992,-0.182121489399983,-0.182121489399983,0.00296653304866249,0.00296653304866249,-0.187949924070026,-0.187949924070026,-0.176293054729939,-0.176293054729939,0.992,0.992,300,5,0.3
6,2,nonlinear,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.681683610864251,0.681683610864251,0.00654455548607796,0.00654455548607796,0.668825330349804,0.668825330349804,0.694541891378698,0.694541891378698,0.998,0.998,-0.322439833137708,-0.322439833137708,0.00616863496206897,0.00616863496206897,-0.334559531549959,-0.334559531549959,-0.310320134725457,-0.310320134725457,0.996,0.996,300,5,0.3
6,3,nonlinear,300,1000,3,5,0.4,0.1,0.3,0.35,20260707,500,500,0.128719939608206,0.128719939608206,0.00376986204451105,0.00376986204451105,0.121313180849386,0.121313180849386,0.136126698367025,0.136126698367025,0.954,0.954,-0.125943149298059,-0.125943149298059,0.00331484067999712,0.00331484067999712,-0.132455914208491,-0.132455914208491,-0.119430384387627,-0.119430384387627,0.956,0.956,300,5,0.3
7,1,linear,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,491,-0.109660562300314,-0.109192732035182,0.00709184393133483,0.00708954713115939,-0.123594116508505,-0.123122395694213,-0.0957270080921229,-0.0952630683761507,0.25,0.25050916496945,0.0887239905107524,0.0885567006184544,0.00553286188475452,0.00556319509786442,0.0778534141494997,0.0776260395833893,0.0995945668720052,0.0994873616535195,0.252,0.252545824847251,150,20,0.3
7,2,linear,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,491,-0.0788113319454609,-0.0807729975992358,0.00755226059475544,0.00763044222244324,-0.0936494803043751,-0.0957654212000534,-0.0639731835865467,-0.0657805739984181,0.33,0.329938900203666,0.0565136532349941,0.0578139940836414,0.0050233838588823,0.00507435619388122,0.0466440633252349,0.0478438121017457,0.0663832431447533,0.0677841760655372,0.328,0.327902240325866,150,20,0.3
7,3,linear,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,491,-0.0388422641002406,-0.0402857289193444,0.00863032085472022,0.00869848397871606,-0.0557985091371634,-0.0573766592602178,-0.0218860190633178,-0.0231947985784709,0.42,0.411405295315682,0.0234603037927488,0.0246563190083473,0.00454540861164403,0.00459731631629104,0.0145298058994032,0.015623433150427,0.0323908016860943,0.0336892048662677,0.434,0.425661914460285,150,20,0.3
8,1,mixed,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,496,-0.111970297726378,-0.111581371030671,0.00716980021756358,0.00714220576263742,-0.126057014941336,-0.125614148305366,-0.0978835805114214,-0.0975485937559755,0.226,0.225806451612903,0.0854028486109757,0.0854466942900427,0.00520172798961196,0.00520866880816759,0.0751828607458618,0.0752128685348354,0.0956228364760896,0.09568052004525,0.238,0.237903225806452,150,20,0.3
8,2,mixed,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,496,0.0966565896986672,0.0972827286046524,0.00706216841504214,0.00710164651882374,0.082781339849529,0.0833296408339819,0.110531839547805,0.111235816375323,0.7,0.701612903225806,-0.0194320394015428,-0.0195262763874939,0.00193289605173103,0.00194732857033787,-0.0232296570841028,-0.0233523252323974,-0.0156344217189827,-0.0157002275425903,0.696,0.69758064516129,150,20,0.3
8,3,mixed,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,496,0.277484666186542,0.277602712231417,0.00624187161313751,0.00628565728417654,0.265221077573439,0.265252853990797,0.289748254799645,0.289952570472038,0.978,0.977822580645161,-0.136075726314012,-0.136120400584455,0.00259651438433463,0.00261425739018089,-0.141177174439036,-0.141256809827527,-0.130974278188987,-0.130983991341382,0.98,0.979838709677419,150,20,0.3
9,1,nonlinear,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,0.16312929532983,0.162784720928099,0.00516978459891044,0.00516863623045134,0.152972067583275,0.152629699837354,0.173286523076384,0.172939742018843,0.934,0.933867735470942,-0.068158076086205,-0.0680088973674754,0.00197498879588958,0.00197329725637463,-0.0720383946203607,-0.071885911412057,-0.0642777575520494,-0.0641318833228938,0.936,0.935871743486974,150,20,0.3
9,2,nonlinear,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,0.115563526862498,0.114927804302768,0.00742950006552149,0.00741710061795996,0.100966569723423,0.100355137578071,0.130160484001573,0.129500471027465,0.74,0.739478957915832,-0.0236463551939588,-0.0234897480516329,0.00202554238391177,0.00202353029416441,-0.0276259978483215,-0.0274654569037929,-0.0196667125395961,-0.0195140391994728,0.732,0.731462925851703,150,20,0.3
9,3,nonlinear,150,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,0.312750646268656,0.312538280447341,0.00700980268464306,0.00702064042688276,0.298978280909114,0.298744554515249,0.326523011628199,0.326332006379434,0.972,0.971943887775551,-0.145989468259552,-0.145763124425635,0.0027242423886443,0.00272026919973191,-0.151341867348696,-0.151107743366513,-0.140637069170408,-0.140418505484756,0.972,0.971943887775551,150,20,0.3
10,1,linear,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,-0.0673708275025178,-0.0671635650074464,0.00477693349036801,0.00478200860042665,-0.0767562091298372,-0.0765589637215895,-0.0579854458751984,-0.0577681662933033,0.348,0.348697394789579,0.0782505392679149,0.0781072404978852,0.00570226928624218,0.00571190369760659,0.0670471232059085,0.0668848406362425,0.0894539553299213,0.0893296403595278,0.35,0.350701402805611,300,20,0.3
10,2,linear,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,-0.0676364745806103,-0.0675354568215937,0.00482723616610783,0.00483586048208085,-0.0771206873534011,-0.077036660426929,-0.0581522618078196,-0.0580342532162585,0.354,0.354709418837675,0.0713295072512907,0.0712721022068122,0.00501842867496763,0.00502816675042566,0.0614696529370064,0.0613930669793909,0.081189361565575,0.0811511374342334,0.352,0.352705410821643,300,20,0.3
10,3,linear,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,-0.0684571852094717,-0.0672311890454755,0.00631215090676502,0.00620436613298163,-0.0808588536163425,-0.0794211490515465,-0.0560555168026008,-0.0550412290394044,0.368,0.3687374749499,0.050353772954037,0.0498331679287202,0.00422544984770128,0.00420166786818662,0.0420519074481139,0.0415779872746129,0.0586556384599602,0.0580883485828275,0.372,0.372745490981964,300,20,0.3
11,1,mixed,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,-0.154127385869303,-0.153978482742342,0.00565560826082463,0.00566498906114924,-0.165239125643258,-0.165108707588865,-0.143015646095348,-0.142848257895818,0.142,0.142284569138277,0.165530083639304,0.165440888693268,0.00612318025370056,0.00613481249741374,0.153499691428543,0.153387583426404,0.177560475850065,0.177494193960132,0.144,0.144288577154309,300,20,0.3
11,2,mixed,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,0.204608104273406,0.205143245502895,0.0099709472356131,0.00997654944332263,0.185017891183609,0.185541929896099,0.224198317363202,0.224744561109692,0.8,0.801603206412826,-0.0509138547997839,-0.0510330073136851,0.0030204727562343,0.00302417607179834,-0.056848266398635,-0.0569747239333042,-0.0449794432009328,-0.045091290694066,0.79,0.791583166332665,300,20,0.3
11,3,mixed,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,499,0.1898767257306,0.190701530062394,0.00517448713375409,0.00511857540418376,0.179710258775626,0.180644865428536,0.200043192685575,0.200758194696251,0.972,0.973947895791583,-0.116427794080272,-0.116790837045927,0.00265720740306896,0.00263757049202757,-0.121648487563032,-0.121972974611938,-0.111207100597513,-0.111608699479916,0.972,0.973947895791583,300,20,0.3
12,1,nonlinear,300,1000,3,20,0.4,0.1,0.3,0.35,20260707,500,500,0.0970797787102375,0.0970797787102375,0.00450165976351793,0.00450165976351793,0.0882352354646271,0.0882352354646271,0.105924321955848,0.105924321955848,0.862,0.862,-0.049889670008441,-0.049889670008441,0.0021241463842178,0.0021241463842178,-0.054063042840274,-0.054063042840274,-0.0457162971766081,-0.0457162971766081,0.856,0.856,300,20,0.3
