condition_id,scenario,n_train,p_per_set,target_r2,n_test,n_sets,rho_within,rho_between,nonlinearity_strength,seed_base,n_rep_requested,n_rep_observed,n_final_converged,n_final_nonconverged,n_final_interpolating,n_final_stable,n_operational_failures,selected_eligibility_rate,selected_cv_full_convergence_rate,unrestricted_minimum_exclusion_rate,final_convergence_rate,final_nonconvergence_rate,final_interpolation_rate,final_stable_rate,final_operational_failure_rate,lambda_lower_boundary_rate,lambda_upper_boundary_rate,sigma_lower_boundary_rate,sigma_upper_boundary_rate,any_boundary_rate,median_lambda,median_sigma,median_cv_mse,mean_elapsed_seconds,report_nonconvergence,report_interpolation,report_boundary_concentration,n_rep_all,n_rep_stable,mean_delta_r2_all,mean_delta_r2_stable,sd_delta_r2_all,sd_delta_r2_stable,mcse_delta_r2_all,mcse_delta_r2_stable,delta_r2_ci_lower_all,delta_r2_ci_lower_stable,delta_r2_ci_upper_all,delta_r2_ci_upper_stable,mean_delta_mse_all,mean_delta_mse_stable,mcse_delta_mse_all,mcse_delta_mse_stable,delta_mse_ci_lower_all,delta_mse_ci_lower_stable,delta_mse_ci_upper_all,delta_mse_ci_upper_stable,mean_delta_prediction_correlation_all,mean_delta_prediction_correlation_stable,mcse_delta_prediction_correlation_all,mcse_delta_prediction_correlation_stable,kernel_r2_win_rate_all,kernel_r2_win_rate_stable,kernel_mse_win_rate_all,kernel_mse_win_rate_stable,mean_mse_reduction_all,mean_mse_reduction_stable,mean_kernel_train_test_gap_all,mean_kernel_train_test_gap_stable,mean_linear_train_test_gap_all,mean_linear_train_test_gap_stable,n_train_factor,p_per_set_factor,target_r2_factor
1,linear,150,5,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.026,1,0,0,1,0,0.48,0.064,0,0.586,0.672,0.001,96,3.75608782424804,28.03156,FALSE,FALSE,TRUE,500,500,-0.0147940229638511,-0.0147940229638511,0.0306477628707353,0.0306477628707353,0.00137060962274516,0.00137060962274516,-0.0174868999732291,-0.0174868999732291,-0.0121011459544732,-0.0121011459544732,0.0707604058277596,0.0707604058277596,0.00655674478210925,0.00655674478210925,0.0578781766451444,0.0578781766451444,0.0836426350103748,0.0836426350103748,-0.0132186875639107,-0.0132186875639107,0.00127990502436044,0.00127990502436044,0.344,0.344,0.344,0.344,-0.0192766612150109,-0.0192766612150109,0.152190327327246,0.152190327327246,0.139706541134031,0.139706541134031,150,5,0.3
2,mixed,150,5,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.042,1,0,0,1,0,0.138,0.234,0,0.198,0.47,0.1,6,4.05153576920804,27.12886,FALSE,FALSE,TRUE,500,500,0.00835483633242439,0.00835483633242439,0.0424885296476097,0.0424885296476097,0.00190014481112141,0.00190014481112141,0.0046215659748814,0.0046215659748814,0.0120881066899674,0.0120881066899674,-0.0395103888439544,-0.0395103888439544,0.00888278156001789,0.00888278156001789,-0.056962650848645,-0.056962650848645,-0.0220581268392638,-0.0220581268392638,0.0279982715947399,0.0279982715947399,0.00213644438975652,0.00213644438975652,0.666,0.666,0.666,0.666,0.00857395020258066,0.00857395020258066,0.235106096216218,0.235106096216218,0.175226600505867,0.175226600505867,150,5,0.3
3,nonlinear,150,5,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,499,1,0,499,1,1,1,0.164,0.998,0.002,0,0.998,0.002,0.056,0.554,0,0.104,0.626,1000,3,4.14568113550116,27.14592,TRUE,FALSE,TRUE,500,499,0.0636203767657527,0.0636655235766298,0.0520648767356677,0.0521073267563824,0.00232841207242201,0.00233264430685809,0.0590456771327346,0.059082486373549,0.0681950763987708,0.0682485607797106,-0.294306665133206,-0.294541942103037,0.0108833378096421,0.0109026214850944,-0.315689478799857,-0.315962747551339,-0.272923851466554,-0.273121136654735,0.108213066062288,0.108334885785901,0.00283514108360878,0.00283820481027805,0.922,0.92184368737475,0.922,0.92184368737475,0.0628650504432219,0.0629054835965524,0.250194885255769,0.250544142326119,0.199631532213312,0.199744877976938,150,5,0.3
4,linear,300,5,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0,1,0,0,1,0,0.594,0,0,0.598,0.706,1e-4,96,3.53709727810335,58.93418,FALSE,FALSE,TRUE,500,500,-0.00425923131642488,-0.00425923131642488,0.0115341934154615,0.0115341934154615,5.1582481085204e-4,5.1582481085204e-4,-0.00527268748290656,-0.00527268748290656,-0.0032457751499432,-0.0032457751499432,0.0202758683644768,0.0202758683644768,0.00242198280407783,0.00242198280407783,0.0155173275648383,0.0155173275648383,0.0250344091641152,0.0250344091641152,-0.00263751560120113,-0.00263751560120113,3.1132096852727e-4,3.1132096852727e-4,0.378,0.378,0.378,0.378,-0.00568848015917213,-0.00568848015917213,0.0817348918571993,0.0817348918571993,0.0706530520048193,0.0706530520048193,300,5,0.3
5,mixed,300,5,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.002,1,0,0,1,0,0.258,0.018,0,0.038,0.304,0.1,6,3.70774246561498,59.8646799999999,FALSE,FALSE,TRUE,500,500,0.0509388076009947,0.0509388076009947,0.0330780133249844,0.0330780133249844,0.00147929372710618,0.00147929372710618,0.0480323957374455,0.0480323957374455,0.0538452194645439,0.0538452194645439,-0.236888873809122,-0.236888873809122,0.00700836134014618,0.00700836134014618,-0.250658407316769,-0.250658407316769,-0.223119340301475,-0.223119340301475,0.0713566259032088,0.0713566259032088,0.00159539269548428,0.00159539269548428,0.952,0.952,0.952,0.952,0.0592118019059072,0.0592118019059072,0.157092142209466,0.157092142209466,0.0825141264004118,0.0825141264004118,300,5,0.3
6,nonlinear,300,5,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,500,0,0,500,0,1,1,0.014,1,0,0,1,0,0.152,0.142,0,0,0.294,1,3,3.89284768340393,61.3812800000001,FALSE,FALSE,FALSE,500,500,0.0906477522931949,0.0906477522931949,0.0384081918544488,0.0384081918544488,0.00171766655758803,0.00171766655758803,0.087273002323585,0.087273002323585,0.0940225022628047,0.0940225022628047,-0.416786213455445,-0.416786213455445,0.00820087348708622,0.00820087348708622,-0.432898710627295,-0.432898710627295,-0.400673716283595,-0.400673716283595,0.151753944045376,0.151753944045376,0.00192266709318067,0.00192266709318067,0.99,0.99,0.99,0.99,0.095133187631317,0.095133187631317,0.185896395213291,0.185896395213291,0.0986313904924288,0.0986313904924288,300,5,0.3
7,linear,150,20,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,491,9,0,491,9,1,1,0.534,0.982,0.018,0,0.982,0.018,0.004,0.554,0.002,0.562,0.72,1000,192,4.48535798169363,39.5626799999999,TRUE,FALSE,TRUE,500,491,0.207569793564205,0.207139146857776,0.125893094306413,0.126395891993464,0.00563011033533864,0.00570416675387878,0.196508150313862,0.195931502297895,0.218631436814549,0.218346791417657,-0.996114656619362,-0.9941360105654,0.0270701080226738,0.0274362932505282,-1.04930009346872,-1.04804330957336,-0.942929219770003,-0.940228711557445,-0.0374371264421788,-0.0379385978976884,0.00299551513010473,0.00302645891149636,0.974,0.973523421588595,0.974,0.973523421588595,0.171318997256925,0.170938124248542,0.234195503825114,0.234327772536327,0.743802456958657,0.743929241413449,150,20,0.3
8,mixed,150,20,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,496,4,0,496,4,1,1,0.622,0.992,0.008,0,0.992,0.008,0,0.718,0.01,0.368,0.77,1000,24,4.59041717304188,38.1664800000001,TRUE,FALSE,TRUE,500,496,0.367456725956137,0.367768273985072,0.143404549898594,0.143478155300362,0.00641324643712034,0.00644235935424149,0.35485643218948,0.355110532532908,0.380057019722794,0.380426015437236,-1.72185122276522,-1.72425866601508,0.0304532393051998,0.0306022627199115,-1.78168359707893,-1.78438501228988,-1.66201884845152,-1.66413231974027,0.0263096726618888,0.0267498772040917,0.00289174857054741,0.00289475714167648,1,1,1,1,0.261242478760454,0.26147485032869,0.248798770664404,0.248770822309211,0.884745458087476,0.884765388058235,150,20,0.3
9,nonlinear,150,20,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,499,1,0,499,1,1,1,0.674,0.998,0.002,0,0.998,0.002,0,0.88,0.028,0.35,0.89,1000,12,4.64699997941566,40.5318999999996,TRUE,FALSE,TRUE,500,499,0.496260711618686,0.496513237023435,0.172894690872494,0.17297586772713,0.00773208563479419,0.00774346331301873,0.481069255718372,0.48129935278917,0.511452167518999,0.5117271212577,-2.30032811715093,-2.30118717820627,0.0364038140702396,0.0364666829974859,-2.37185176059878,-2.37283469187094,-2.22880447370308,-2.2295396645416,0.10018659534278,0.100060755502785,0.00272870067424939,0.00273126544812319,1,1,1,1,0.320287526602308,0.320364508752773,0.254103584202151,0.253944819654488,0.977612481528563,0.978238371149041,150,20,0.3
10,linear,300,20,0.3,1000,3,0.4,0.1,0.35,20260707,500,500,499,1,0,499,1,1,1,0.16,0.998,0.002,0,0.998,0.002,0.024,0.1,0,0.36,0.404,0.01,96,4.11702883939031,84.7548799999999,TRUE,FALSE,TRUE,500,499,0.00551660027800109,0.00553147318865456,0.0421704795972617,0.0422114855017567,0.0018859211804649,0.00188964561164395,0.0018112755056555,0.00181881279146462,0.00922192505034668,0.0092441335858445,-0.0258368398681915,-0.0259059335105438,0.00894202518302311,0.00895969558760207,-0.0434054995602291,-0.0435093967070256,-0.00826818017615396,-0.00830247031406197,-0.0307639833317553,-0.0306188742074175,0.00213017113338641,0.00212948614565223,0.642,0.643286573146293,0.642,0.643286573146293,0.00472824545203556,0.00474191562910711,0.209128793023784,0.209560590914993,0.312026136580012,0.312141210558294,300,20,0.3
